         Step axial_stra... axial_stre... 
 7.650000e+03 -1.600234e-04 -1.563632e+07 
 7.660000e+03 -1.605134e-04 -1.569538e+07 
 7.670000e+03 -1.610034e-04 -1.575265e+07 
 7.680000e+03 -1.614933e-04 -1.580762e+07 
 7.690000e+03 -1.619833e-04 -1.585989e+07 
 7.700000e+03 -1.624733e-04 -1.590918e+07 
 7.710000e+03 -1.629633e-04 -1.595539e+07 
 7.720000e+03 -1.634532e-04 -1.599859e+07 
 7.730000e+03 -1.639432e-04 -1.603902e+07 
 7.740000e+03 -1.644332e-04 -1.607703e+07 
 7.750000e+03 -1.649232e-04 -1.611313e+07 
 7.760000e+03 -1.654132e-04 -1.614791e+07 
 7.770000e+03 -1.659031e-04 -1.618202e+07 
 7.780000e+03 -1.663931e-04 -1.621615e+07 
 7.790000e+03 -1.668831e-04 -1.625087e+07 
 7.800000e+03 -1.673731e-04 -1.628679e+07 
 7.810000e+03 -1.678630e-04 -1.632439e+07 
 7.820000e+03 -1.683530e-04 -1.636397e+07 
 7.830000e+03 -1.688430e-04 -1.640581e+07 
 7.840000e+03 -1.693330e-04 -1.645005e+07 
 7.850000e+03 -1.698229e-04 -1.649678e+07 
 7.860000e+03 -1.703129e-04 -1.654604e+07 
 7.870000e+03 -1.708029e-04 -1.659775e+07 
 7.880000e+03 -1.712929e-04 -1.665178e+07 
 7.890000e+03 -1.717829e-04 -1.670787e+07 
 7.900000e+03 -1.722728e-04 -1.676570e+07 
 7.910000e+03 -1.727628e-04 -1.682487e+07 
 7.920000e+03 -1.732528e-04 -1.688489e+07 
 7.930000e+03 -1.737428e-04 -1.694525e+07 
 7.940000e+03 -1.742327e-04 -1.700544e+07 
 7.950000e+03 -1.747227e-04 -1.706498e+07 
 7.960000e+03 -1.752127e-04 -1.712339e+07 
 7.970000e+03 -1.757027e-04 -1.718024e+07 
 7.980000e+03 -1.761927e-04 -1.723513e+07 
 7.990000e+03 -1.766826e-04 -1.728773e+07 
 8.000000e+03 -1.771726e-04 -1.733779e+07 
 8.010000e+03 -1.776626e-04 -1.738519e+07 
 8.020000e+03 -1.781526e-04 -1.742991e+07 
 8.030000e+03 -1.786426e-04 -1.747207e+07 
 8.040000e+03 -1.791325e-04 -1.751192e+07 
 8.050000e+03 -1.796225e-04 -1.754982e+07 
 8.060000e+03 -1.801125e-04 -1.758623e+07 
 8.070000e+03 -1.806025e-04 -1.762170e+07 
 8.080000e+03 -1.810924e-04 -1.765677e+07 
 8.090000e+03 -1.815824e-04 -1.769202e+07 
