         Step axial_stra... axial_stre... 
------------- ------------- ------------- 
         Step axial_stra... axial_stre... 
------------- ------------- ------------- 
 6.010000e+03 -1.072664e-04 -6.111818e+06 
 6.020000e+03 -1.079261e-04 -6.145098e+06 
 6.030000e+03 -1.085858e-04 -6.180307e+06 
 6.040000e+03 -1.092455e-04 -6.218144e+06 
 6.050000e+03 -1.099052e-04 -6.258767e+06 
 6.060000e+03 -1.105649e-04 -6.301842e+06 
 6.070000e+03 -1.112246e-04 -6.346628e+06 
 6.080000e+03 -1.118843e-04 -6.392187e+06 
 6.090000e+03 -1.125440e-04 -6.437577e+06 
 6.100000e+03 -1.132037e-04 -6.481885e+06 
 6.110000e+03 -1.138634e-04 -6.524236e+06 
 6.120000e+03 -1.145231e-04 -6.564001e+06 
 6.130000e+03 -1.151828e-04 -6.600744e+06 
 6.140000e+03 -1.158425e-04 -6.634400e+06 
 6.150000e+03 -1.165022e-04 -6.665259e+06 
 6.160000e+03 -1.171620e-04 -6.693982e+06 
 6.170000e+03 -1.178217e-04 -6.721524e+06 
 6.180000e+03 -1.184814e-04 -6.748987e+06 
 6.190000e+03 -1.191411e-04 -6.777497e+06 
 6.200000e+03 -1.198008e-04 -6.807899e+06 
 6.210000e+03 -1.204605e-04 -6.840528e+06 
 6.220000e+03 -1.211202e-04 -6.875261e+06 
 6.230000e+03 -1.217799e-04 -6.911676e+06 
 6.240000e+03 -1.224396e-04 -6.949175e+06 
 6.250000e+03 -1.230993e-04 -6.987084e+06 
 6.260000e+03 -1.237590e-04 -7.024868e+06 
 6.270000e+03 -1.244187e-04 -7.062106e+06 
 6.280000e+03 -1.250784e-04 -7.098473e+06 
 6.290000e+03 -1.257382e-04 -7.134010e+06 
 6.300000e+03 -1.263979e-04 -7.169101e+06 
 6.310000e+03 -1.270576e-04 -7.204449e+06 
 6.320000e+03 -1.277173e-04 -7.240953e+06 
 6.330000e+03 -1.283770e-04 -7.279554e+06 
 6.340000e+03 -1.290367e-04 -7.320849e+06 
 6.350000e+03 -1.296964e-04 -7.365031e+06 
 6.360000e+03 -1.303561e-04 -7.411728e+06 
 6.370000e+03 -1.310158e-04 -7.460234e+06 
 6.380000e+03 -1.316755e-04 -7.509671e+06 
 6.390000e+03 -1.323352e-04 -7.559132e+06 
 6.400000e+03 -1.329949e-04 -7.607750e+06 
 6.410000e+03 -1.336547e-04 -7.654814e+06 
 6.420000e+03 -1.343144e-04 -7.699694e+06 
 6.430000e+03 -1.349741e-04 -7.741934e+06 
 6.440000e+03 -1.356338e-04 -7.781324e+06 
 6.450000e+03 -1.362935e-04 -7.817867e+06 
 6.460000e+03 -1.369532e-04 -7.851777e+06 
 6.470000e+03 -1.376129e-04 -7.883337e+06 
 6.480000e+03 -1.382726e-04 -7.913016e+06 
 6.490000e+03 -1.389323e-04 -7.941396e+06 
 6.500000e+03 -1.395920e-04 -7.969045e+06 
 6.510000e+03 -1.402518e-04 -7.996560e+06 
 6.520000e+03 -1.409115e-04 -8.024414e+06 
 6.530000e+03 -1.415712e-04 -8.052881e+06 
 6.540000e+03 -1.422309e-04 -8.082138e+06 
 6.550000e+03 -1.428906e-04 -8.112226e+06 
 6.560000e+03 -1.435503e-04 -8.143065e+06 
 6.570000e+03 -1.442100e-04 -8.174611e+06 
 6.580000e+03 -1.448697e-04 -8.206824e+06 
 6.590000e+03 -1.455295e-04 -8.239741e+06 
 6.600000e+03 -1.461892e-04 -8.273552e+06 
 6.610000e+03 -1.468489e-04 -8.308632e+06 
 6.620000e+03 -1.475086e-04 -8.345441e+06 
 6.630000e+03 -1.481683e-04 -8.384442e+06 
 6.640000e+03 -1.488280e-04 -8.426082e+06 
 6.650000e+03 -1.494877e-04 -8.470608e+06 
 6.660000e+03 -1.501474e-04 -8.517882e+06 
 6.670000e+03 -1.508071e-04 -8.567421e+06 
 6.680000e+03 -1.514669e-04 -8.618525e+06 
 6.690000e+03 -1.521266e-04 -8.670357e+06 
 6.700000e+03 -1.527863e-04 -8.721998e+06 
